jd,a,e,i,aop,raan,TA,raan_dot_moon,raan_dot_sun,raan_dot_3b,raan_dot_j2,raan_dot_total,aop_dot_moon,aop_dot_sun,aop_dot_3b,aop_dot_j2,aop_dot_total,La,Le,Li,Laop,Lraan,LTA
2457398.7298978,7152.1717165963,0.0159552571654849,98.5896419217249,137.074894068787,106.805941843869,74.9135010032926,106.781797207452,106.781796707163,106.781797626171,106.808061770325,106.808063108053,142.406939354212,142.406940840721,142.406938110069,142.328899341023,142.328895366228,7151.25482761793,0.0159693426115416,98.6269211303819,136.597299179006,106.884200045256,75.3931832183902
2457398.72993056,7152.12239243367,0.0159527952139587,98.5896712736612,137.051851326046,106.805960090923,75.1072601906184,106.781797208602,106.781796707688,106.781797627846,106.808094643269,106.808095982671,142.406939350795,142.406940839164,142.406938105094,142.328801665499,142.328797685729,7151.25482761793,0.0159693426115415,98.6269211303819,136.597299179005,106.884200045256,75.5638865415931
2457398.72996331,7152.07294292592,0.0159503793877432,98.5897007070931,137.028682075816,106.80597851644,75.3011297062723,106.781797209752,106.781796708212,106.78179762952,106.808127516213,106.808128857288,142.406939347377,142.406940837607,142.40693810012,142.328703989975,142.32870000523,7151.25482761793,0.0159693426115415,98.6269211303819,136.597299179004,106.884200045256,75.7345741980386
2457398.72999606,7152.02336991156,0.01594801004233,98.5897302209505,137.005387980322,106.805997120875,75.4951078770994,106.781797210902,106.781796708736,106.781797631194,106.808160389156,106.808161731906,142.406939343959,142.40694083605,142.406938095145,142.328606314451,142.328602324731,7151.25482761793,0.0159693426115414,98.6269211303819,136.597299179003,106.884200045256,75.9052461779391
2457398.73002882,7151.97367523218,0.0159456875289266,98.5897598141607,136.981970716831,106.806015904676,75.6891930150562,106.781797212053,106.78179670926,106.781797632868,106.8081932621,106.808194606524,142.406939340542,142.406940834493,142.40693809017,142.328508638926,142.328504644232,7151.25482761793,0.0159693426115414,98.6269211303819,136.597299179003,106.884200045256,76.0759024716539
2457398.73006157,7151.92386073231,0.0159434121944188,98.5897894856489,136.958431977496,106.806034868286,75.8833834173673,106.781797213203,106.781796709784,106.781797634543,106.808226135043,106.808227481142,142.406939337124,142.406940832935,142.406938085195,142.328410963402,142.328406963733,7151.25482761792,0.0159693426115414,98.6269211303819,136.597299179003,106.884200045256,76.2465430696862
2457398.73009433,7151.8739282594,0.0159411843813293,98.5898192343379,136.934773469171,106.80605401214,76.077677366712,106.781797214353,106.781796710308,106.781797636217,106.808259007987,106.80826035576,142.406939333707,142.406940831378,142.406938080221,142.328313287878,142.328309283234,7151.25482761792,0.0159693426115415,98.6269211303819,136.597299179001,106.884200045256,76.4171679626852
2457398.73012708,7151.82387966372,0.0159390044277793,98.5898490591483,136.910996913245,106.806073336667,76.2720731313893,106.781797215503,106.781796710832,106.781797637891,106.80829188093,106.808293230377,142.406939330289,142.406940829821,142.406938075246,142.328215612354,142.328211602735,7151.25482761792,0.0159693426115416,98.6269211303819,136.597299179002,106.884200045256,76.5877771414409
2457398.73015984,7151.77371679832,0.0159368726674522,98.5898789589984,136.887104045471,106.80609284229,76.4665689654886,106.781797216653,106.781796711356,106.781797639565,106.808324753874,106.808326104995,142.406939326872,142.406940828264,142.406938070271,142.32811793683,142.328113922237,7151.25482761793,0.0159693426115414,98.6269211303819,136.597299179002,106.884200045256,76.7583705968925
2457398.73019259,7151.7234415189,0.0159347894295515,98.5899089328045,136.863096615769,106.806112529423,76.661163109088,106.781797217804,106.78179671188,106.78179764124,106.808357626817,106.808358979613,142.406939323454,142.406940826707,142.406938065297,142.328020261305,142.328016241738,7151.25482761792,0.0159693426115415,98.6269211303819,136.597299179002,106.884200045256,76.9289483201223
2457398.73022535,7151.67305568379,0.0159327550387669,98.5899389794808,136.838976388059,106.806132398476,76.855853788419,106.781797218954,106.781796712404,106.781797642914,106.808390499761,106.808391854231,142.406939320036,142.40694082515,142.406938060322,142.327922585781,142.327918561239,7151.25482761792,0.0159693426115414,98.6269211303819,136.597299179001,106.884200045256,77.0995103023578
2457398.7302581,7151.62256115385,0.0159307698152354,98.5899690979393,136.81474514006,106.80615244985,77.0506392160686,106.781797220104,106.781796712928,106.781797644588,106.808423372704,106.808424728849,142.406939316619,142.406940823593,142.406938055347,142.327824910257,142.32782088074,7151.25482761793,0.0159693426115416,98.6269211303819,136.597299179003,106.884200045256,77.2700565349662
2457398.73029086,7151.5719597924,0.015928834074506,98.5899992870901,136.790404663113,106.806172683941,77.2455175911572,106.781797221254,106.781796713452,106.781797646262,106.808456245648,106.808457603466,142.406939313201,142.406940822036,142.406938050372,142.327727234733,142.327723200241,7151.25482761793,0.0159693426115416,98.6269211303819,136.597299179002,106.884200045256,77.4405870094696
2457398.73032361,7151.52125346515,0.0159269481275025,98.5900295458411,136.765956761985,106.806193101138,77.4404870995342,106.781797222404,106.781796713976,106.781797647937,106.808489118591,106.808490478084,142.406939309784,142.406940820478,142.406938045398,142.327629559209,142.327625519742,7151.25482761793,0.0159693426115417,98.6269211303819,136.597299179003,106.884200045256,77.6111017175223
2457398.73035637,7151.47044404016,0.0159251122804898,98.5900598730985,136.741403254685,106.806213701821,77.6355459139616,106.781797223555,106.7817967145,106.781797649611,106.808521991535,106.808523352702,142.406939306366,142.406940818921,142.406938040423,142.327531883684,142.327527839243,7151.25482761793,0.0159693426115417,98.6269211303819,136.597299179004,106.884200045256,77.7816006509345
2457398.73038912,7151.41953338768,0.0159233268350361,98.5900902677665,136.716745972235,106.806234486367,77.8306921943422,106.781797224705,106.781796715024,106.781797651285,106.808554864478,106.80855622732,142.406939302948,142.406940817364,142.406938035448,142.32743420816,142.327430158744,7151.25482761793,0.0159693426115418,98.6269211303819,136.597299179004,106.884200045256,77.9520838016535
2457398.73042188,7151.3685233802,0.0159215920879818,98.5901207287475,136.691986758519,106.806255455144,78.0259240878709,106.781797225855,106.781796715548,106.781797652959,106.808587737422,106.808589101937,142.406939299531,142.406940815807,142.406938030474,142.327336532636,142.327332478245,7151.25482761793,0.0159693426115417,98.6269211303819,136.597299179004,106.884200045256,78.1225511617739
2457398.73045463,7151.31741589224,0.0159199083314027,98.5901512549418,136.667127470024,106.806276608513,78.2212397292975,106.781797227005,106.781796716072,106.781797654634,106.808620610366,106.808621976555,142.406939296113,142.40694081425,142.406938025499,142.327238857112,142.327234797746,7151.25482761793,0.0159693426115418,98.6269211303819,136.597299179004,106.884200045256,78.2930027235348
2457398.73048738,7151.26621280041,0.015918275852579,98.5901818452483,136.642169975696,106.806297946829,78.4166372410642,106.781797228155,106.781796716596,106.781797656308,106.808653483309,106.808654851173,142.406939292696,142.406940812693,142.406938020524,142.327141181588,142.327137117247,7151.25482761793,0.0159693426115416,98.6269211303819,136.597299179004,106.884200045256,78.4634384793185
