jd,x,y,z,xdot,ydot,zdot,lx,ly,lz,lxdot,lydot,lzdot
2457398.73160104,893.791463969706,-5370.80942394287,-4615.86568142569,-2.20825180858674,4.34828330591567,-5.66994079916212,891.910832765302,-5357.98802869945,-4631.67539886171,-2.22050387076554,4.36137101659889,-5.6557942156783
2457398.7316338,887.538163083563,-5358.48020417602,-4631.89133194228,-2.21101021235738,4.36489797202232,-5.65558300506871,885.622902286563,-5345.62185585787,-4647.66094923257,-2.2232599373651,4.3779669660667,-5.6414066036146
2457398.73166655,881.277084606626,-5346.10402366154,-4647.87628263247,-2.21374880044162,4.38147173943129,-5.64117780713348,879.327200289552,-5333.20877411957,-4663.60571545823,-2.22599610672359,4.39452215788663,-5.62697152166291
2457398.73169931,875.008284638852,-5333.68099833045,-4663.82039955849,-2.21646755495413,4.39800447471186,-5.6267253480866,873.023783109725,-5320.74889901927,-4679.50956339806,-2.22871236031052,4.41103645745631,-5.61248911062529
2457398.73173206,868.73181933048,-5321.21124449057,-4679.72354918696,-2.21916645820119,4.4144960448952,-5.61222577098992,866.712707134714,-5308.24234647196,-4695.3723593104,-2.23140867978442,4.42750973061584,-5.59795951164887
2457398.73176481,862.447744881506,-5308.69487882521,-4695.58559838973,-2.22184549268055,4.43094631747497,-5.5976792192352,860.394028803788,-5295.68923277172,-4711.1939698535,-2.23408504699276,4.44394184364848,-5.58338286622411
2457398.73179757,856.156117541148,-5296.13201839186,-4711.40641444477,-2.2245046410813,4.44735516040796,-5.58308583654222,854.067804607323,-5283.08967459037,-4726.97426208653,-2.23674144397196,4.46033266328154,-5.56875931618309
2457398.73183032,849.856993607273,-5283.52278062082,-4727.18586503727,-2.22714388628388,4.46372244211481,-5.56844576695682,847.734091086263,-5270.4437889763,-4742.71310347052,-2.2393778529473,4.47668205668702,-5.5540890036978
2457398.73186308,843.550429425893,-5270.86728331398,-4742.92381826036,-2.22976321135985,4.48004803148057,-5.55375915484911,841.392944831587,-5257.75169335316,-4758.41036186931,-2.2419942563329,4.49298989148244,-5.53937207127844
2457398.73189583,837.236481390609,-5258.16564464347,-4758.62014261614,-2.23236259957185,4.4963317978553,-5.53902614491153,835.044422483776,-5245.0135055186,-4774.06590555055,-2.24459063673169,4.50925603573156,-5.52460866177166
2457398.73192859,830.915205942055,-5245.41798315027,-4774.27470701656,-2.23494203437348,4.51257361105478,-5.52424688215701,828.688580732276,-5232.22934364305,-4789.67960318661,-2.24716697693534,4.52548035794513,-5.50979891835888
2457398.73196134,824.586659567395,-5232.62441774303,-4789.88738078431,-2.23750149940919,4.52877334136101,-5.5094215119171,822.325476314967,-5219.39932626839,-4805.25132385552,-2.24972325992421,4.54166272708161,-5.49494298455458
2457398.7319941,818.250898799762,-5219.78506769667,-4805.45803365372,-2.24004097851416,4.54493085952286,-5.49455017984008,815.955166017627,-5206.52357230671,-4820.78093704194,-2.2522594688673,4.55780301254791,-5.48004100420453
2457398.73202685,811.907980217701,-5206.90005265102,-4820.98653577168,-2.24256045571419,4.5610460367567,-5.47963303188907,809.5777066734,-5193.60220103908,-4836.26831263807,-2.25477558712221,4.57390108420011,-5.46509312148415
2457398.73205961,805.557960444679,-5193.9694926096,-4836.47275769846,-2.24505991522558,4.57711874474686,-5.46467021434022,803.193155162259,-5180.6353321142,-4851.71332094461,-2.2572715982351,4.58995681234417,-5.45009948089673
2457398.73209236,799.200896148483,-5180.99350793818,-4851.91657040872,-2.24753934145502,4.59314885564639,-5.44966187378074,796.801568410476,-5167.62308554719,-4867.11583267164,-2.25974748594056,4.60597006773665,-5.43506022727175
2457398.73212512,792.836844040751,-5167.97221936361,-4867.31784529218,-2.24999871899944,4.6091362420774,-5.43460815710719,790.403003390088,-5154.56558171828,-4882.47571893959,-2.26220323416165,4.62194072158537,-5.41997550576315
2457398.73215787,786.465860876388,-5154.90574797231,-4882.67645415471,-2.25243803264591,4.6250807771318,-5.41950921152346,783.997517118363,-5141.46294137155,-4897.79285128011,-2.26463882700976,4.63786864555017,-5.40484546184761
2457398.73219062,780.088003453026,-5141.79421520905,-4897.99226921908,-2.25485726737154,4.64098233437182,-5.40436518453895,777.585166657265,-5128.31528561364,-4913.06710163703,-2.26705424878459,4.65375371174356,-5.38967024132286
2457398.73222338,773.703328610523,-5128.63774287563,-4913.2651631258,-2.25725640834329,4.65684078783048,-5.38917622396677,771.166009112927,-5115.12273591248,-4928.29834236722,-2.26944948397407,4.66959579273139,-5.37444999030593
2457398.73225613,767.3118932304,-5115.43645312951,-4928.49500893404,-2.25963544091787,4.67265601201216,-5.37394247792181,764.740101635112,-5101.88541409596,-4943.48644624153,-2.27182451725428,4.68539476153355,-5.35918485523146
2457398.73228889,760.913754235308,-5102.19046848245,-4943.68168012245,-2.26199435064164,4.68842788189316,-5.35866409481891,758.307501416686,-5088.60344235073,-4958.63128644563,-2.27417933348942,4.70115049162465,-5.34387498284996
2457398.73232164,754.508968588499,-5088.89991179924,-4958.82505059001,-2.26433312325041,4.70415627292221,-5.343341223371,751.868265693081,-5075.27694322082,-4973.73273658099,-2.2765139177317,4.71686285693466,-5.32852052022613
2457398.7323544,748.097593293277,-5075.56490629632,-4973.92499465685,-2.26665174466939,4.71984106102098,-5.32797401258721,745.422451741767,-5061.90603960643,-4988.79067066567,-2.27882825522129,4.73253173184955,-5.31312161473711
2457398.73238715,741.67968539249,-5062.18557554047,-4988.98138706511,-2.26895020101294,4.73548212258454,-5.31256261177111,738.970116881717,-5048.49085476257,-5003.80496313527,-2.28112233138623,4.748156991212,-5.29767841407079
2457398.73241991,735.25530196796,-5048.76204344741,-5003.99410297978,-2.27122847858454,4.75107933448194,-5.29710717051872,732.511318472879,-5035.03151229782,-5018.77548884379,-2.28339613184239,4.76373851032197,-5.2821910662241
2457398.73245266,728.82450013999,-5035.29443428059,-5018.96301798945,-2.27348656387659,4.76663257405662,-5.2816078387168,726.046113915639,-5021.528136173,-5033.70212306448,-2.28564964239333,4.77927616493741,-5.26665971950126
2457398.73248542,722.387337066784,-5021.78287264968,-5033.88800810723,-2.27572444357026,4.78214171912697,-5.26606476654089,719.574560650297,-5007.9808506999,-5048.58474149074,-2.28788284903026,4.79476983127482,-5.25108452251212
2457398.73251817,715.943869943951,-5008.22748350935,-5048.76894977148,-2.27794210453538,4.79760664798676,-5.25047810445353,713.096716156531,-4994.38978053995,-5063.42322023695,-2.29009573793198,4.81021938600996,-5.23546562417039
2457398.73255093,709.494156003957,-4994.62839215788,-5063.60571984668,-2.28013953383026,4.81302723940561,-5.23484800320239,706.612637952866,-4980.75505070294,-5078.21743583935,-2.29228829546475,4.82562470627837,-5.21980317369197
2457398.73258368,703.038252515592,-4980.98572423582,-5078.39819562418,-2.28231671870156,4.82840337262945,-5.21917461381844,700.122383596149,-4967.07678654574,-5092.9672652569,-2.29446050818221,4.84098566967606,-5.20409732059324
2457398.73261644,696.576216783442,-4967.29960572466,-5093.14625482303,-2.28447364658413,4.843734927381,-5.20345808761409,693.626010681011,-4953.35511377094,-5107.67258587209,-2.29661236282533,4.8563021542601,-5.18834821468931
2457398.73264919,690.108106147345,-4953.57016294539,-5107.84977559079,-2.28661030510086,4.85902178386023,-5.18769857618133,687.123576839345,-4939.59015842559,-5122.33327549182,-2.2987438463223,4.87157403854918,-5.17255600609236
2457398.73268194,683.6339779819,-4939.79752255736,-5122.50863650422,-2.28872668206253,4.87426382274468,-5.17189623139003,680.615139739769,-4925.78204689987,-5136.94921234824,-2.3008549457884,4.88680120152424,-5.15672084520987
2457398.7327147,677.153889695862,-4925.98181155664,-5137.12271657023,-2.29082276546764,4.88946092519011,-5.15605120538587,674.100757087102,-4911.93090592581,-5151.52027509954,-2.30294564852599,4.90198352262908,-5.14084288274298
2457398.73274745,670.667898731693,-4912.12315727493,-5151.69189522649,-2.29289854350224,4.90461297283069,-5.14016365058872,667.580486621833,-4898.03686257592,-5166.04634283083,-2.30501594202434,4.91712088177087,-5.12492226968472
2457398.73278021,664.176062564974,-4898.22168737806,-5166.2160523423,-2.29495400453982,4.91971984777957,-5.12423371969071,661.054386119591,-4884.10004426197,-5180.52729505493,-2.30706581395956,4.93221315932079,-5.10895915731833
2457398.73281296,657.67843870392,-4884.27752986469,-5180.69506821929,-2.29698913714108,4.93478143262924,-5.10826156565443,654.522513390618,-4870.12057873356,-5194.96301171321,-2.30909525219454,4.94726023611458,-5.09295369721556
2457398.73284572,651.175084688802,-4870.2908130649,-5195.12882359229,-2.29900393005382,4.94979761045195,-5.09224734171108,647.98492627924,-4856.09859407693,-5209.35337317639,-2.31110424477876,4.96226199345308,-5.07690604123495
2457398.73287847,644.666058091466,-4856.26166563894,-5209.51719962995,-2.30099837221276,4.96476826480008,-5.07619120135868,641.441682663337,-4842.03421871352,-5223.69826024534,-2.3130927799483,4.97721831310283,-5.06081634152013
2457398.73291123,638.15141651476,-4842.19021657571,-5223.86007793561,-2.30297245273933,4.97969327970657,-5.06009329836019,634.892840453821,-4827.92758139876,-5237.99755415192,-2.31506084612564,4.99212907729656,-5.04468475049809
2457398.73294398,631.631217592059,-4828.0765951916,-5238.15734054795,-2.30492616094156,4.99457253968525,-5.04395378674178,628.3384575941,-4813.77881122067,-5252.25113655974,-2.31700843191961,5.00699416873381,-5.02851142087752
2457398.73297674,625.105518986693,-4813.92093112895,-5252.40886994178,-2.3068594863139,5.00940592973125,-5.02777282079096,621.77859205956,-4799.58803759859,-5266.45888956498,-2.31893552612527,5.0218134705814,-5.01229650564708
2457398.73300949,618.574378391436,-4799.72335435479,-5266.61454902879,-2.30877241853699,5.02419333532138,-5.01155055505474,615.21330185703,-4785.35539028181,-5280.62069569718,-2.3208421177238,5.03658686647401,-4.99604015807367
2457398.73304225,612.03785352799,-4785.48399515947,-5280.77426115825,-2.31066494747755,5.03893464241444,-4.99528714433789,608.642645024261,-4771.08099934831,-5294.73643792,-2.32272819588237,5.05131424051467,-4.9797425317008
2457398.733075,605.496002146436,-4771.20298415525,-5294.88789011775,-2.31253706318819,5.05362973745165,-4.97898274370104,602.066679629397,-4756.76499520335,-5308.80599963203,-2.32459374995409,5.06599547727529,-4.96340378034682
2457398.73310775,598.948882024749,-4756.880452275,-5308.95532013389,-2.31438875590717,5.0682785073569,-4.962637508459,595.48546377045,-4742.40750857822,-5322.82926466755,-2.3264387694778,5.08063046179721,-4.94702405810324
2457398.73314051,592.396550968215,-4742.51653077076,-5322.97643587308,-2.31622001605833,5.08288083953721,-4.94625159417879,588.899055574775,-4728.00867052887,-5336.8061172973,-2.32826324417805,5.09521907959166,-4.93060351933305
2457398.73317326,585.839066808971,-4728.11135121246,-5336.95112244212,-2.31803083425081,5.09743662188294,-4.929825156678,582.307513198543,-4713.56861243458,-5350.73644222925,-2.33006716396493,5.10976121664028,-4.91414231866901
2457398.73320602,579.276487405416,-4713.66504548644,-5350.87926538906,-2.31982120127892,5.11194574276823,-4.91335835202287,575.710894826218,-4699.08746599665,-5364.62012460936,-2.33185051893396,5.1242567593956,-4.89764061101192
2457398.73323877,572.708870641772,-4699.17774579427,-5364.7607507037,-2.32159110812193,5.12640809105119,-4.89685133652661,569.109258670029,-4684.56536323704,-5378.45705002234,-2.33361329936596,5.13870559478159,-4.88109855152899
2457398.73327153,566.136274427461,-4684.64958465115,-5378.59546481853,-2.32334054594391,5.14082355607438,-4.88030426674746,562.502662969452,-4670.00243649704,-5392.24710449241,-2.33535549572697,5.15310761019406,-4.86451629565208
2457398.73330428,559.558756696663,-4670.08069488469,-5392.38329460921,-2.3250695060935,5.15519202766496,-4.86371729948702,555.89116599068,-4655.39881843597,-5405.990174484,-2.33707709866807,5.16746269350119,-4.84789399907604
2457398.73333704,552.976375407769,-4655.47120963355,-5406.12412739535,-2.32677798010376,5.16951339613506,-4.84709059178845,549.274826026101,-4640.75464202979,-5419.68614690256,-2.3387780990253,5.181770733044,-4.831231817757
2457398.73336979,546.389188542835,-4640.82126234593,-5419.81785094122,-2.32846595969196,5.18378755228212,-4.83042430093457,542.653701393777,-4626.0700405698,-5433.33490909525,-2.3404584878195,5.19603161763678,-4.81452990791069
2457398.73340255,539.797254107108,-4626.13098677839,-5433.46435345633,-2.33013343675939,5.19801438738906,-4.81371858444625,536.027850436919,-4611.34514766126,-5446.93634885169,-2.34211825625621,5.21024523656761,-4.79778842601075
2457398.7334353,533.200630128471,-4611.40051699432,-5447.06352359616,-2.33178040339116,5.21219379322465,-4.79697360008049,529.397331523365,-4596.5800972221,-5460.49035440468,-2.34375739572552,5.22441147959875,-4.78100752878703
2457398.73346806,526.599374656919,-4596.6299873626,-5460.61525046288,-2.33340685185602,5.22632566204381,-4.78018950582866,522.762203045059,-4581.77502348155,-5473.99681443092,-2.34537589780193,5.23853023696714,-4.76418737322388
2457398.73350081,519.993545764092,-4581.81953255634,-5474.11942360585,-2.33501277460616,5.24040988658773,-4.76336645991486,516.122523417527,-4566.93006097879,-5487.45561805174,-2.34697375424425,5.25260139938481,-4.74732811655851
2457398.73353356,513.3832015427,-4566.96928755134,-5487.57593302243,-2.33659816427696,5.25444636008429,-4.74650462079398,509.478351079358,-4552.0453445616,-5500.86665483382,-2.34855095699545,5.26662485803934,-4.73042991627928
2457398.73356632,506.768400106029,-4552.07938762482,-5500.98466915856,-2.33816301368687,5.26843497624822,-4.72960414715001,502.829744491681,-4537.12100938505,-5514.22981478987,-2.3501074981825,5.28060050459426,-4.71349293012399
2457398.73359907,500.149199587423,-4537.149968354,-5514.34552290942,-2.33970731583716,5.2823756292814,-4.71266519789425,496.176762137646,-4522.15719091011,-5527.54498837934,-2.35164337011627,5.2945282311895,-4.69651731607824
2457398.73363183,493.525658139764,-4522.18116561475,-5527.65838562008,-2.34123106391172,5.29626821387306,-4.69568793216356,489.519462521904,-4507.15402490232,-5540.81206650915,-2.35315856529135,5.30840793044182,-4.67950323237371
2457398.73366458,486.897833934971,-4507.17311558021,-5540.92314908608,-2.34273425127687,5.31011262520004,-4.67867250931864,482.857904170085,-4492.11164743046,-5554.03094053435,-2.35465307638596,5.3222394954452,-4.66245083748649
2457398.73369734,480.265785163451,-4492.12595471937,-5554.13970555416,-2.34421687148113,5.32390875892701,-4.66161908894217,476.192145628282,-4477.03019486516,-5567.20150225883,-2.35612689626174,5.33602281977123,-4.6453602901354
2457398.73373009,473.629570033631,-4477.03981979574,-5567.30794772277,-2.34567891825503,5.33765651120668,-4.64452783083716,469.522245462527,-4461.90980387756,-5580.32364393597,-2.35758001796368,5.34975779746957,-4.62823174928032
2457398.73376285,466.989246771406,-4461.91484786596,-5580.42776874277,-2.3471203855109,5.35135577868003,-4.62739889502515,462.848262258278,-4446.75061143798,-5593.39725826939,-2.35901243471992,5.3634443230683,-4.6110653741205
2457398.7337956,460.344873619635,-4446.7511762784,-5593.49906221805,-2.34854126734265,5.36500645847653,-4.61023244174444,456.170254619899,-4431.55275481453,-5606.42223841353,-2.36042413994162,5.37708229157431,-4.59386132409289
